# Time-averaged data for fix ave
# TimeStep v_pe v_nctet v_ncint
20 -408727 36 0
40 -410556 36 0
60 -410826 36 0
80 -410738 36 0
100 -410114 36 0
120 -409793 36 0
140 -410114 36 0
160 -410750 36 0
180 -410471 36 0
200 -409813 36 0
220 -409657 36 0
240 -410160 36 0
260 -410484 36 0
280 -410483 36 0
300 -410276 36 0
320 -409935 36 0
340 -409873 36 0
360 -409776 36 0
380 -410129 36 0
400 -410345 36 0
420 -410455 36 0
440 -410255 36 0
460 -409924 36 0
480 -409835 36 0
500 -410152 36 0
520 -410150 36 0
540 -409822 36 0
560 -409962 36 0
580 -410299 36 0
600 -410369 36 0
620 -410391 36 0
640 -410351 36 0
660 -410397 36 0
680 -410584 36 0
700 -410538 36 0
720 -410336 36 0
740 -410351 36 0
760 -410298 36 0
780 -410170 36 0
800 -410130 36 0
820 -409970 36 0
840 -409847 36 0
860 -409861 36 0
880 -409753 36 0
900 -410075 36 0
920 -410255 36 0
940 -410133 36 0
960 -410214 36 0
980 -410430 36 0
1000 -410337 36 0
1020 -410261 36 0
1040 -410191 36 0
1060 -410007 36 0
1080 -410153 36 0
1100 -410314 36 0
1120 -410164 36 0
1140 -410131 36 0
1160 -410184 36 0
1180 -409958 36 0
1200 -409800 36 0
1220 -409851 36 0
1240 -409898 36 0
1260 -409925 36 0
1280 -410030 36 0
1300 -409980 36 0
1320 -409881 36 0
1340 -409914 36 0
1360 -409857 36 0
1380 -409793 36 0
1400 -409921 36 0
1420 -409992 36 0
1440 -409990 36 0
1460 -410080 36 0
1480 -410193 36 0
1500 -410262 36 0
1520 -410270 36 0
1540 -410314 36 0
1560 -410292 36 0
1580 -410188 36 0
1600 -410215 36 0
1620 -410195 36 0
1640 -410121 36 0
1660 -410116 36 0
1680 -410181 36 0
1700 -410149 36 0
1720 -410043 36 0
1740 -410106 36 0
1760 -410178 36 0
1780 -410198 36 0
1800 -410258 36 0
1820 -410318 36 0
1840 -410335 36 0
1860 -410339 36 0
1880 -410358 36 0
1900 -410339 36 0
1920 -410367 36 0
1940 -410335 36 0
1960 -410230 36 0
1980 -410134 36 0
2000 -410153 36 0
