layer,coverage,binding_site,nFe2,nFe3,avg_thickness,max_thickness,avg_O_Feoct_dist,avg_zC_cooh_avg_zFe3O4_dist,avg_Fe_oct_bonding_avg_Fe_oct_all
9,full,tet,0,252,9.153806686401367,9.157424926757813,1.8895507816112402,4.203950881958004,0.0
9,half,tet,18,234,8.431878360701198,9.002765655517578,1.915781916994037,4.178188571223508,0.27158400453167175
9,full,int,0,252,9.292094230651855,9.295673370361328,1.8916215318622012,4.177985032399494,0.0
9,half,int,18,234,8.540470865037705,9.216800689697266,1.9128825917388455,4.2333629043014085,0.31454144583808485
17,full,tet,72,396,17.223812880339445,17.55099868774414,1.8890664125933792,4.191346433427597,0.16200228090639257
17,half,tet,90,378,16.918905328821246,17.498268127441406,1.9166347402514834,4.1785312405339035,0.2714308279532034
17,full,int,72,396,17.691322856479225,17.69314193725586,1.8915433133089985,4.173440791942461,0.0
17,half,int,90,378,16.95793692955221,17.636993408203125,1.9129357374075688,4.214760939280183,0.3185124363062499
25,full,tet,144,540,25.71345103228534,26.052352905273438,1.8889649474259578,4.1943955421447825,0.16381763528894666
25,half,tet,162,522,25.488874981660807,26.137454986572266,1.915861032225869,4.181580684803151,0.24685313145691978
25,full,int,144,540,26.14501688215467,26.152122497558594,1.8923161493407354,4.1709012102197605,0.0
25,half,int,162,522,25.44681257590269,26.119792938232422,1.913119811000246,4.216338793436687,0.3151206709380858
33,full,tet,216,684,34.396565401244104,34.5444278717041,1.8893761616764646,4.191837505058006,0.0568488884197631
33,half,tet,234,666,33.955201798256,34.593326568603516,1.9168234738436611,4.163286747755826,0.22986088184395115
33,full,int,216,684,34.63497665193346,34.660926818847656,1.8924124196723655,4.173626263936361,0.0
33,half,int,234,666,33.89483539529369,34.59068489074707,1.9131311936811968,4.214762316809761,0.32935093375845526
41,full,tet,288,828,42.866789290793946,43.02051544189453,1.8887981176376343,4.192926689430518,0.06342681108834824
41,half,tet,306,810,42.364892041241674,42.958839416503906,1.9163509426694927,4.158613028349704,0.25727784192121206
41,full,int,288,828,43.08504259264148,43.1471061706543,1.8917507077708389,4.168474992116291,0.012964482064003136
41,half,int,306,810,42.35807428369726,43.06624984741211,1.913471904667941,4.215695292861378,0.3380404100990688
49,full,tet,360,972,51.32629428190343,51.502037048339844,1.8889311877163975,4.1900703730406565,0.07135374405805095
49,half,tet,378,954,50.84586842854817,51.42495536804199,1.9166767705570569,4.157293902503108,0.2568367322285976
49,full,int,360,972,51.517907589231584,51.600013732910156,1.8916252688928084,4.165369307553338,0.03139221855932384
49,half,int,378,954,50.82938766479492,51.53696632385254,1.9133986595905188,4.206107245551223,0.3350570466783296
57,full,tet,432,1116,59.7939348660675,59.98857498168945,1.889245761163307,4.190631133538712,0.0780078879942181
57,half,tet,450,1098,59.33013275523244,59.903507232666016,1.916029023401665,4.136408611580181,0.2447922200332453
57,full,int,432,1116,60.0486100815438,60.10531425476074,1.8917743653962107,4.165703067073111,0.0064100803913618165
57,half,int,450,1098,59.31334253224459,60.0194091796875,1.9137339519731926,4.207838967994409,0.33426962260044135
65,full,tet,504,1260,68.4026548764859,68.47144985198975,1.8888761346990413,4.189224110709294,0.01263283846671115
65,half,tet,522,1242,67.80712531525411,68.35171127319336,1.9154101501811633,4.149462501207983,0.2501063287994034
65,full,int,504,1260,68.50701342828091,68.57088947296143,1.8910674832083962,4.164673169453939,0.012470602292069088
65,half,int,522,1242,67.78717084460789,68.49315071105957,1.912847424998428,4.202372829119364,0.3329669581519248
