layer,coverage,binding_site,nFe2,nFe3,avg_thickness,max_thickness,avg_O_Feoct_dist,avg_zC_cooh_avg_zFe3O4_dist,avg_Fe_oct_bonding_avg_Fe_oct_all
9,full,tet,0,252,9.153806686401367,9.157424926757813,1.8895507816112402,4.203950881958004,0.0
9,half,tet,18,234,8.71102650960286,9.002765655517578,1.915781916994037,4.178188571223508,0.13200993008084083
9,full,int,0,252,9.292094230651855,9.295673370361328,1.8916215318622012,4.177985032399494,0.0
9,half,int,18,234,8.793184492323142,9.216800689697266,1.9128825917388455,4.2333629043014085,0.18818463219536596
17,full,tet,72,396,17.54781744215223,17.55099868774414,1.8890664125933792,4.191346433427597,0.0
17,half,tet,90,378,17.20069037543402,17.498268127441406,1.9166347402514834,4.1785312405339035,0.13053830464681582
17,full,int,72,396,17.691322856479225,17.69314193725586,1.8915433133089985,4.173440791942461,0.0
17,half,int,90,378,17.242392539978027,17.636993408203125,1.9129357374075688,4.214760939280183,0.17628463109334191
25,full,tet,144,540,26.041086302863235,26.052352905273438,1.8889649474259578,4.1943955421447825,0.0
25,half,tet,162,522,25.697286711798775,26.137454986572266,1.915861032225869,4.181580684803151,0.1426472663879359
25,full,int,144,540,26.14501688215467,26.152122497558594,1.8923161493407354,4.1709012102197605,0.0
25,half,int,162,522,25.723830964830185,26.119792938232422,1.913119811000246,4.216338793436687,0.1766114764743385
33,full,tet,216,684,34.51026317808363,34.5444278717041,1.8893761616764646,4.191837505058006,0.0
33,half,tet,234,666,34.163022412194145,34.593326568603516,1.9168234738436611,4.163286747755826,0.12595057487487793
33,full,int,216,684,34.63497665193346,34.660926818847656,1.8924124196723655,4.173626263936361,0.0
33,half,int,234,666,34.20162873797946,34.59068489074707,1.9131311936811968,4.214762316809761,0.17595426241556922
41,full,tet,288,828,42.99364291297064,43.02051544189453,1.8887981176376343,4.192926689430518,0.0
41,half,tet,306,810,42.63792101542155,42.958839416503906,1.9163509426694927,4.158613028349704,0.12076335483127565
41,full,int,288,828,43.110971556769485,43.1471061706543,1.8917507077708389,4.168474992116291,0.0
41,half,int,306,810,42.68107562594944,43.06624984741211,1.913471904667941,4.215695292861378,0.1765397389729806
49,full,tet,360,972,51.46900177001953,51.502037048339844,1.8889311877163975,4.1900703730406565,0.0
49,half,tet,378,954,51.117937088012695,51.42495536804199,1.9166767705570569,4.157293902503108,0.12080240249633789
49,full,int,360,972,51.580692026350235,51.600013732910156,1.8916252688928084,4.165369307553338,0.0
49,half,int,378,954,51.15597703721788,51.53696632385254,1.9133986595905188,4.206107245551223,0.1717623604668539
57,full,tet,432,1116,59.94995064205594,59.98857498168945,1.889245761163307,4.190631133538712,0.0
57,half,tet,450,1098,59.59525569279988,59.903507232666016,1.916029023401665,4.136408611580181,0.11223075124952508
57,full,int,432,1116,60.06143024232652,60.10531425476074,1.8917743653962107,4.165703067073111,0.0
57,half,int,450,1098,59.636663383907745,60.0194091796875,1.9137339519731926,4.207838967994409,0.17260919676886566
