thickness_layer,coverage,binding site,finished,energy_kcal/mol
9,full,tet,1,-126944.939697120
9,full,int,1,-126957.568995020
17,full,tet,1,-222063.869142325
17,full,int,1,-222061.425749045
25,full,tet,1,-317170.55441523
25,full,int,1,-317166.347350213
33,full,tet,1,-412276.078214451
33,full,int,0,-412271.740442256
41,full,tet,0,-507382.933873796
41,full,int,1,-507378.624558501
49,full,tet,1,-602489.242243526
49,full,int,1,-602485.134576906
57,full,tet,1,-697594.54928866
57,full,int,1,-697591.309156237
65,full,tet,1,-792701.11294528
65,full,int,1,-792697.855046607
