thickness_layer,coverage,binding site,finished,energy_kcal/mol
9,full,tet,1,-126944.939697120
9,full,int,1,-126957.568995020
9,half,tet,1,-124049.602794070
9,half,int,1,-124123.577226852
17,full,tet,1,-222063.869142325
17,full,int,1,-222061.425749045
17,half,tet,1,-219189.575236914
17,half,int,1,-219253.060538389
25,full,tet,1,-317170.554415230
25,full,int,1,-317166.347350210
25,half,tet,1,-314335.827102688
25,half,int,0,-314391.147232314
33,full,tet,1,-412294.682990770
33,full,int,0,-412284.915287626
33,half,tet,1,-409449.847827563
33,half,int,1,-409528.933028616
41,full,tet,1,-507409.838180438
41,full,int,1,-507433.536707104
41,half,tet,1,-504582.640301903
41,half,int,1,-504656.797260114
49,full,tet,1,-602547.304898119
49,full,int,1,-602541.449910936
49,half,tet,1,-599716.677294694
49,half,int,1,-599769.308114025
57,full,tet,1,-697667.331836897
57,full,int,1,-697669.926544597
57,half,tet,1,-694847.941631277
57,half,int,1,-694905.949858268
65,full,tet,1,-792802.267790969
65,full,int,1,-792815.431729846
65,half,tet,1,-789990.727331396
65,half,int,1,-790042.591588062
