nlayer coord charge
2 tet 2.625
## tot_charge (oct+tet) layer: -0.525
## nfe_oct3+ - nfe_oct2+  : 2 - 2
4 tet 3.150
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 3 - 1
6 tet 3.150
## tot_charge (oct+tet) layer: 0.000
## nfe_oct3+ - nfe_oct2+  : 2 - 2
8 tet 2.625
## tot_charge (oct+tet) layer: -0.525
## nfe_oct3+ - nfe_oct2+  : 2 - 2
10 tet 2.625
## tot_charge (oct+tet) layer: -0.525
## nfe_oct3+ - nfe_oct2+  : 2 - 2
12 tet 2.625
## tot_charge (oct+tet) layer: -1.050
## nfe_oct3+ - nfe_oct2+  : 1 - 3
14 tet 3.150
## tot_charge (oct+tet) layer: 1.050
## nfe_oct3+ - nfe_oct2+  : 4 - 0
16 tet 3.150
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 3 - 1
18 tet 3.150
## tot_charge (oct+tet) layer: 0.000
## nfe_oct3+ - nfe_oct2+  : 2 - 2
20 tet 2.625
## tot_charge (oct+tet) layer: 0.000
## nfe_oct3+ - nfe_oct2+  : 3 - 1
22 tet 2.625
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 4 - 0
24 tet 2.625
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 4 - 0
26 tet 2.625
## tot_charge (oct+tet) layer: -0.525
## nfe_oct3+ - nfe_oct2+  : 2 - 2
28 tet 2.625
## tot_charge (oct+tet) layer: 0.000
## nfe_oct3+ - nfe_oct2+  : 3 - 1
30 tet 2.625
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 4 - 0
32 tet 2.625
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 4 - 0
34 tet 2.625
## tot_charge (oct+tet) layer: 0.000
## nfe_oct3+ - nfe_oct2+  : 3 - 1
36 tet 2.625
## tot_charge (oct+tet) layer: 0.000
## nfe_oct3+ - nfe_oct2+  : 3 - 1
38 tet 2.625
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 4 - 0
40 tet 2.625
## tot_charge (oct+tet) layer: 0.000
## nfe_oct3+ - nfe_oct2+  : 3 - 1
42 tet 2.625
## tot_charge (oct+tet) layer: -0.525
## nfe_oct3+ - nfe_oct2+  : 2 - 2
44 tet 3.150
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 3 - 1
46 tet 2.100
## tot_charge (oct+tet) layer: -1.050
## nfe_oct3+ - nfe_oct2+  : 2 - 2
48 tet 3.150
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 3 - 1
50 tet 3.150
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 3 - 1
52 tet 2.625
## tot_charge (oct+tet) layer: 0.000
## nfe_oct3+ - nfe_oct2+  : 3 - 1
54 tet 2.625
## tot_charge (oct+tet) layer: 0.000
## nfe_oct3+ - nfe_oct2+  : 3 - 1
56 tet 3.150
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 3 - 1
58 tet 2.625
## tot_charge (oct+tet) layer: 0.525
## nfe_oct3+ - nfe_oct2+  : 4 - 0
60 tet 2.625
## tot_charge (oct+tet) layer: 0.000
## nfe_oct3+ - nfe_oct2+  : 3 - 1
62 tet 2.625
## tot_charge (oct+tet) layer: -0.525
## nfe_oct3+ - nfe_oct2+  : 2 - 2
64 tet 3.150
## tot_charge (oct+tet) layer: 1.050
## nfe_oct3+ - nfe_oct2+  : 4 - 0
66 tet 2.625
## tot_charge (oct+tet) layer: 0.000
## nfe_oct3+ - nfe_oct2+  : 3 - 1
## tot_charge (oct) : -3.150
